ArraySize,QuickSortComp,QuickSortSwaps,MergeSortComp,MergeSortSwaps,BubbleSortComp,BubbleSortSwaps,HeapSortComp,HeapSortSwaps
100,807,596,553,276,4950,2959,1055,599
200,1969,1430,1300,644,19900,11162,2487,1385
300,3238,2259,2121,1052,44850,24677,4072,2248
400,4813,3050,2994,1483,79800,43701,5771,3161
500,5956,3844,3886,1959,124750,67867,7499,4088
600,7723,4709,4833,2386,179700,97770,9308,5086
700,9174,5915,5797,2850,244650,133255,11192,6092
800,10863,7031,6774,3361,319600,175799,13098,7096
900,12872,8069,7762,3850,404550,215844,15012,8126
1000,14212,8640,8758,4386,499500,265865,16948,9153
