ArraySize,QuickSortComp,QuickSortSwaps,MergeSortComp,MergeSortSwaps,BubbleSortComp,BubbleSortSwaps,HeapSortComp,HeapSortSwaps
100,635,387,543,264,4950,2428,1028,581
200,1536,900,1282,623,19900,9979,2454,1360
300,2564,1479,2098,1017,44850,22463,4023,2210
400,3615,2051,2960,1442,79800,39821,5705,3117
500,4750,2700,3855,1910,124750,62260,7427,4044
600,5942,3391,4793,2329,179700,89783,9249,5019
700,7100,4028,5750,2798,244650,122158,11117,6017
800,8379,4718,6721,3287,319600,160234,13010,7030
900,9634,5412,7710,3788,404550,202128,14924,8052
1000,10885,6082,8708,4314,499500,249714,16852,9082
