ArraySize,QuickSortComp,QuickSortSwaps,MergeSortComp,MergeSortSwaps,BubbleSortComp,BubbleSortSwaps,HeapSortComp,HeapSortSwaps
100,558,281,526,248,4950,2130,1011,567
200,1332,699,1256,595,19900,8647,2411,1328
300,2232,1113,2067,987,44850,19926,3969,2169
400,3138,1611,2929,1396,79800,36113,5644,3062
500,4118,2091,3812,1857,124750,56159,7360,3982
600,5176,2678,4749,2278,179700,82394,9173,4950
700,6397,3187,5690,2735,244650,111619,11034,5953
800,7341,3689,6662,3203,319600,150454,12930,6961
900,8280,4240,7654,3703,404550,189801,14825,7974
1000,9783,4933,8649,4241,499500,233394,16764,9012
